"Part";"Value";"Device";"Package";"Description";"";
"C1";"22p";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C2";"22p";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C3";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C4";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C5";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C6";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"IC1";"ATMEGA328P";"MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";
"J1";"";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";
"J2";"";"M04PTH";"1X04";"Header 4";"";
"J3";"";"M04PTH";"1X04";"Header 4";"";
"J4";"";"M01PTH";"1X01";"Header 1";"";
"J6";"";"M11PTH";"1X11";"Header 11";"";
"JP1";"";"JP1E";"JP1";"JUMPER";"";
"LED1";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";
"PAD1";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"Q1";"16MHz";"XTAL/S";"QS";"CRYSTAL";"";
"Q2";"";"BC817-16SMD";"SOT23-BEC";"NPN Transistor";"";
"R1";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"5.6k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R9";"5.6k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R10";"5.6k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R11";"5.6k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R12";"5.6k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R13";"15k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R15";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R16";"5.6k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R17";"5.6k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R18";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R19";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R20";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R21";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R22";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R23";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R24";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R25";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R26";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R27";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R28";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R29";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"U1";"RFM95_LORA_MODULE";"RFM95_LORA_MODULE";"RFM95";"";"";
"U2";"AMS1117_3.3";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";
